# category|Chinese appearance|English appearance|source phrases (semicolon-separated, defaults to Chinese appearance)
languages|阿拉伯语文字|Arabic text|阿拉伯语
languages|希伯来语文字|Hebrew text|希伯来语
languages|俄语文字|Russian text|俄语
languages|韩语文字|Korean text|韩语
languages|泰语文字|Thai text|泰语
languages|高棉语文字|Khmer text|高棉语
languages|老挝语文字|Lao text|老挝语
languages|越南语文字|Vietnamese text|越南语
languages|印地语文字|Hindi text|印地语
languages|泰米尔语文字|Tamil text|泰米尔语
languages|旁遮普语文字|Punjabi text|旁遮普语
languages|孟加拉语文字|Bengali text|孟加拉语
languages|瑞典语文字|Swedish text|瑞典语
languages|芬兰语文字|Finnish text|芬兰语
languages|挪威语文字|Norwegian text|挪威语
languages|丹麦语文字|Danish text|丹麦语
languages|希腊语文字|Greek text|希腊语
scripts|西里尔字母|Cyrillic letters|西里尔字母
scripts|拉丁字母|Latin letters|拉丁字母
scripts|阿拉伯字形|Arabic script|阿拉伯字母;阿拉伯字形
scripts|希伯来字母|Hebrew letters|希伯来字母
scripts|天城文|Devanagari script|天城文
scripts|泰文字形|Thai script|泰文;泰语文字
scripts|高棉文字形|Khmer script|高棉文;高棉文字
scripts|韩文字形|Hangul letters|韩文;韩文字
scripts|老挝文字形|Lao script|老挝文;老挝文字
scripts|波浪号字母|Letter with a tilde|带波浪号的字母
scripts|顶端横线字形|Letters joined by a top line|顶端横线字形
words|STOP 字样|The word STOP|STOP
words|ALTO 字样|The word ALTO|“ALTO”;ALTO
words|PARE 字样|The word PARE|PARE
words|停止牌写有 DUR|DUR on a stop sign|DUR
words|STOPP 字样|The word STOPP|STOPP
words|RAILROAD CROSSING 字样|RAILROAD CROSSING text|RAILROAD CROSSING
words|SPEED LIMIT 字样|SPEED LIMIT text|SPEED LIMIT
words|MAXIMUM 字样|MAXIMUM text|MAXIMUM
words|Rua 字样|The word Rua|Rua
words|Jalan 字样|The word Jalan|Jalan
words|rue 字样|The word rue|rue
words|calle 字样|The word calle|calle
words|katu 字样|The word katu|katu
words|ул 字样|The abbreviation ул|ул
words|улица 字样|The word улица|улица
words|Einbahnstraße 字样|Einbahnstraße text|Einbahnstraße
brands|OXXO 标志|OXXO sign|OXXO
brands|PEMEX 标志|PEMEX sign|PEMEX
brands|K-Market 标志|K-Market sign|K-Market
brands|S-Market 标志|S-Market sign|S-Market
brands|K-Supermarket 标志|K-Supermarket sign|K-Supermarket
brands|K-Citymarket 标志|K-Citymarket sign|K-Citymarket
brands|Buc-ee's 标志|Buc-ee's sign|Buc-ee's
brands|CASEY'S 标志|CASEY'S sign|CASEY'S
brands|Hy-Vee 标志|Hy-Vee sign|Hy-Vee
brands|Kwik Trip 标志|Kwik Trip sign|Kwik Trip
brands|Publix 标志|Publix sign|Publix
brands|SHEETZ 标志|SHEETZ sign|SHEETZ
brands|Shoprite 标志|Shoprite sign|Shoprite
brands|WaWa 标志|WaWa sign|WaWa
markings|白色实线|Solid white road line|白色实线
markings|双实线|Double solid road line|双实线
markings|黄白条纹标线|Yellow-and-white road stripes|黄白条纹
markings|橙色道路中线|Orange road center line|橙色道路中线
markings|红砖铺装路面|Red-brick road surface|红砖铺装路面
markings|石块铺装路面|Stone-paved road|石块铺装路
posts|短白色路桩|Short white roadside bollard|短白色路桩
posts|白色混凝土路桩|White concrete roadside bollard|白色混凝土路桩
posts|黄色反光板|Yellow roadside reflector|圆形的黄色反光板
posts|黑色顶部路桩|Bollard with a black top|顶部黑色路桩;顶部为黑色
poles|圆柱形混凝土杆|Cylindrical concrete utility pole|圆柱型混凝土杆
poles|灰色杆顶|Gray pole top|灰色杆顶
poles|电线杆横杆|Utility pole crossarm|横杆
poles|灰色天线|Gray camera antenna|灰色天线
poles|电线杆上的金属臂|Metal arm on utility pole|一到两个带有绝缘棒的金属臂
signs|黑色边框道路标志|Road sign with a black border|黑色边框
signs|黄色背景道路标志|Road sign with a yellow background|黄色背景标志
signs|黑白条纹标志杆|Black-and-white striped signpost|黑白条纹
signs|交通标志上的箭头|Arrow on a road sign|箭头
signs|黑白行人过路标志|Black-and-white pedestrian crossing sign|黑白相间的路标
plates|橙色车牌|Orange vehicle plate|橙色车牌
plates|淡黄色车牌|Pale yellow vehicle plate|淡黄色
plates|荧光黄车牌|Fluorescent yellow vehicle plate|荧光黄色
plates|车牌两侧蓝条|Blue bands on both sides of plate|两侧都有蓝色条带
plates|彩虹图案车牌|Rainbow-pattern vehicle plate|彩虹
road-vehicles|公交车|Bus|公交车
road-vehicles|卡车|Truck|卡车
road-vehicles|出租车|Taxi|出租车
road-vehicles|摩托车|Motorcycle|摩托车
camera|街景船只|Street View imagery from a boat|船上街景
camera|模糊街景画面|Blurred Street View imagery|模糊
camera|短粗天线|Short thick camera antenna|短粗天线
camera|白色街景车|White Street View car|白车
camera|蓝白街景车|Blue-and-white Street View car|蓝白色街景车
camera|绿色模糊画面|Green-tinted blurred imagery|绿色模糊
terrain|山脉|Mountain range|山脉
terrain|高原|Plateau|高原
terrain|山谷|Valley|山谷
terrain|海岸|Coastline|海岸
terrain|雪山|Snow-covered mountain|雪山
terrain|积雪|Snow on the ground|积雪
terrain|向日葵田|Sunflower field|向日葵
terrain|果园|Orchard|果园
plants|森林|Forest|森林
plants|桉树林|Eucalyptus woodland|桉树林
plants|橄榄树|Olive trees|橄榄树
plants|温带雨林|Temperate rainforest|温带雨林
plants|山毛榉林|Beech forest|山毛榉林
plants|树篱|Hedges|树篱
plants|柱状南洋杉|Columnar Araucaria trees|柱状南洋杉
plants|稀疏树木|Sparse trees|稀疏树木
plants|高草|Tall grass|高草
soil|粉红色土壤|Pink soil|浅粉红土
soil|黑色沙滩|Black sand beach|黑色的沙滩
buildings|白色小屋|Small white house|白色小屋
buildings|木框架房屋|Timber-frame house|木框架
buildings|瓷砖外墙|Tiled building exterior|瓷砖
buildings|烟囱|Chimney|烟囱
buildings|摩天大楼|Skyscraper|摩天大楼
buildings|公寓楼|Apartment building|公寓楼
buildings|铁皮屋顶|Corrugated metal roof|铁皮屋顶
scripts|传统蒙古文|Traditional Mongolian script|传统蒙文
scripts|奥里雅文字|Odia script|奥里雅文字
scripts|孟加拉文字|Bengali script|孟加拉文
words|停止牌写有 BERHENTI|BERHENTI on a stop sign|BERHENTI
words|peringatan 字样|The word peringatan|peringatan
words|rruga 字样|The word rruga|rruga
words|вулиця 字样|The word вулиця|вулиця
words|Rúa 字样|The word Rúa|Rúa
words|COUNTY 字样|The word COUNTY|COUNTY
brands|Pizza Ranch 标志|Pizza Ranch sign|Pizza Ranch
brands|Kum & Go 标志|Kum & Go sign|Kum & Go
brands|piggly wiggly 标志|piggly wiggly sign|piggly wiggly
